"Date","Calories.Burned","Steps","Distance","Floors","Minutes.Sedentary","Minutes.Lightly.Active","Minutes.Fairly.Active","Minutes.Very.Active","Activity.Calories","Week.Day"
"2014-10-26","1,798","61",0.03,0,"1,436",4,0,0,"14","Sunday"
"2014-10-27","1,899","1,417",0.66,0,"1,420",3,9,8,"129","Monday"
"2014-10-28","1,932","1,326",0.6,0,"1,405",20,8,7,"163","Tuesday"
"2014-10-29","1,933","1,222",0.55,0,"1,399",29,8,4,"172","Wednesday"
"2014-10-30","1,783","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-10-31","1,783","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-11-01","1,783","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-11-02","1,851","2,894",1.31,0,"1,425",10,2,3,"70","Sunday"
"2014-11-03","2,608","6,854",3.1,0,"1,389",27,15,9,"251","Monday"
"2014-11-04","3,342","17,802",8.31,0,"1,400",23,7,10,"201","Tuesday"
"2014-11-05","2,945","13,810",6.25,0,"1,396",26,11,7,"195","Wednesday"
"2014-11-06","2,912","11,194",5.06,0,"1,408",14,9,9,"173","Thursday"
"2014-11-07","2,984","14,224",6.67,0,"1,415",16,8,1,"101","Friday"
"2014-11-08","2,383","5,495",2.48,0,"1,419",9,6,6,"127","Saturday"
"2014-11-09","3,294","18,963",9.67,0,"1,388",27,14,11,"287","Sunday"
"2014-11-10","1,955","1,430",0.65,0,"1,386",38,11,5,"217","Monday"
"2014-11-11","1,770","35",0.02,0,"1,438",2,0,0,"7","Tuesday"
"2014-11-12","1,764","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-11-13","1,762","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-11-14","3,089","12,824",6.45,0,"1,413",12,7,8,"166","Friday"
"2014-11-15","2,596","8,908",4.17,0,"1,405",17,14,4,"159","Saturday"
"2014-11-16","1,780","3,282",1.53,0,"1,436",2,0,2,"24","Sunday"
"2014-11-17","1,751","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-11-18","1,757","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-11-19","1,763","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-11-20","1,759","0",0,0,"1,440",0,0,0,"0","Thursday"
